The following miRNA-target pairs, validated by luciferase reporter experiments, were extracted manually from the corresponding reference. A few target genes not documented here may be available in "TarBase" and "miRecords" database system.

miRNA	Validated target	Pub Date	Reference
hsa-miR-200a	beta-catenin	2009	"Down-regulated microRNA-200a in Meningiomas Promotes Tumor Growth by Reducing E-cadherin and Activating the Wnt/{beta} catenin Signaling Pathway.
hsa-miR-200a	Dlx5	2009	MicroRNA-141 and -200a are involved in bone morphogenetic protein-2-induced mouse Pre-osteoblast differentiation by targeting distal-less homeobox 5
hsa-miR-200a	SIP1/ZEB2	2008	A double-negative feedback loop between ZEB1-SIP1 and the microRNA-200 family regulates epithelial-mesenchymal transition
hsa-miR-200a	ZEB1/deltaEF1	2008	A double-negative feedback loop between ZEB1-SIP1 and the microRNA-200 family regulates epithelial-mesenchymal transition
hsa-miR-200a	SIP1(ZEB2)	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-200a	ZEB1(deltaEF1)	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-200a	SIP1(ZEB2)	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-200a	ZEB1(deltaEF1)	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-200a	WAVE3	2009	The miR200 family of microRNAs regulates WAVE3-dependent cancer cell invasion
hsa-miR-200a	ZEB1	2009	Regulation of miR-200 family microRNAs and ZEB transcription factors in ovarian cancer: Evidence supporting a mesothelial-to-epithelial transition
hsa-miR-200a	ZEB2	2009	Regulation of miR-200 family microRNAs and ZEB transcription factors in ovarian cancer: Evidence supporting a mesothelial-to-epithelial transition
hsa-miR-200b	SIP1/ZEB3	2008	A double-negative feedback loop between ZEB1-SIP1 and the microRNA-200 family regulates epithelial-mesenchymal transition
hsa-miR-200b	ZEB1/deltaEF1	2008	A double-negative feedback loop between ZEB1-SIP1 and the microRNA-200 family regulates epithelial-mesenchymal transition
hsa-miR-200b	SIP1(ZEB2)	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-200b	ZEB1(deltaEF1)	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-200b	SIP1(ZEB2)	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-200b	ZEB1(deltaEF1)	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-200b	PTPN12	2006	Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.
hsa-miR-200b	WAVE3	2009	The miR200 family of microRNAs regulates WAVE3-dependent cancer cell invasion
hsa-miR-200b	ZEB1 	2009	E-cadherin transcriptional down-regulation by epigenetic and microRNA-200 family alterations is related to mesenchymal and drug-resistant phenotypes in human breast cancer cells.
hsa-miR-200b	ZEB2	2009	E-cadherin transcriptional down-regulation by epigenetic and microRNA-200 family alterations is related to mesenchymal and drug-resistant phenotypes in human breast cancer cells.
hsa-miR-200b	ZEB1	2009	Regulation of miR-200 family microRNAs and ZEB transcription factors in ovarian cancer: Evidence supporting a mesothelial-to-epithelial transition
hsa-miR-200b	ZEB2	2009	Regulation of miR-200 family microRNAs and ZEB transcription factors in ovarian cancer: Evidence supporting a mesothelial-to-epithelial transition
hsa-miR-200c	BMI1	2009	Downregulation of miRNA-200c links breast cancer stem cells with normal stem cells.
hsa-miR-200c	TUBB3	2009	MicroRNA-200c mitigates invasiveness and restores sensitivity to microtubule-targeting chemotherapeutic agents.
hsa-miR-200c	E-cadherin	2009	Stable expression of miR-200c alone is sufficient to regulate TCF8 (ZEB1) and restore E-cadherin expression
hsa-miR-200c	ZEB1	2009	Stable expression of miR-200c alone is sufficient to regulate TCF8 (ZEB1) and restore E-cadherin expression
hsa-miR-200c	ZEB1(deltaEF1)	2008	A reciprocal repression between ZEB1 and members of the miR-200 family promotes EMT and invasion in cancer cells.
hsa-miR-200c	SIP1(ZEB2)	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-200c	ZEB1(deltaEF1)	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-200c	SIP1(ZEB2)	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-200c	ZEB1(deltaEF1)	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-200c	ZEB1 	2009	E-cadherin transcriptional down-regulation by epigenetic and microRNA-200 family alterations is related to mesenchymal and drug-resistant phenotypes in human breast cancer cells.
hsa-miR-200c	ZEB2	2009	E-cadherin transcriptional down-regulation by epigenetic and microRNA-200 family alterations is related to mesenchymal and drug-resistant phenotypes in human breast cancer cells.
hsa-miR-200c	ZEB1	2009	Regulation of miR-200 family microRNAs and ZEB transcription factors in ovarian cancer: Evidence supporting a mesothelial-to-epithelial transition
hsa-miR-200c	ZEB2	2009	Regulation of miR-200 family microRNAs and ZEB transcription factors in ovarian cancer: Evidence supporting a mesothelial-to-epithelial transition
hsa-miR-203	p63	2008	A skin microRNA promotes differentiation by repressing 'stemness'.
hsa-miR-203	ABL1	2008	Genetic and epigenetic silencing of microRNA-203 enhances ABL1 and BCR-ABL1 oncogene expression.
hsa-miR-203	ABL1	2008	Genetic and epigenetic silencing of microRNA-203 enhances ABL1 and BCR-ABL1 oncogene expression.
hsa-miR-203	BCR-ABL1	2008	Genetic and epigenetic silencing of microRNA-203 enhances ABL1 and BCR-ABL1 oncogene expression.
hsa-miR-203	BCR-ABL1	2008	Genetic and epigenetic silencing of microRNA-203 enhances ABL1 and BCR-ABL1 oncogene expression.
hsa-miR-203	SOCS-3	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-204	BCL2	2009	MicroRNA microarray identifies Let-7i as a novel biomarker and therapeutic target in human epithelial ovarian cancer.
hsa-miR-204	Mcl-1	2009	p53-Responsive micrornas 192 and 215 are capable of inducing cell cycle arrest.
hsa-miR-204	HOXA10	2008	Distinctive microRNA signature of acute myeloid leukemia bearing cytoplasmic mutated nucleophosmin.
hsa-miR-204	MEIS1	2008	Distinctive microRNA signature of acute myeloid leukemia bearing cytoplasmic mutated nucleophosmin.
hsa-miR-204	PDEF	2008	MicroRNA-mediated inhibition of prostate-derived Ets factor messenger RNA translation affects prostate-derived Ets factor regulatory networks in human breast cancer.
hsa-miR-205	LRP1	2009	MicroRNA-205 inhibits tumor cell migration through down-regulating the expression of the LDL receptor-related protein 1
hsa-miR-205	HER3	2009	microRNA-205 regulates HER3 in human breast cancer.
hsa-miR-205	SHIP2	2009	MicroRNA-184 antagonizes microRNA-205 to maintain SHIP2 levels in epithelia
hsa-miR-205	SIP1(ZEB2)	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-205	ZEB1(deltaEF1)	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-206	MET	2009	"The muscle-specific microRNA miR-206 blocks human rhabdomyosarcoma growth in
xenotransplanted mice by promoting myogenic differentiation."
hsa-miR-206	c-Met	2009	MicroRNA-1/206 targets c-Met and inhibits rhabdomyosarcoma development.
hsa-miR-206	ER-alpha	2008	miR-206 Expression is down-regulated in estrogen receptor alpha-positive human breast cancer.
hsa-miR-206	ER-alpha	2007	The micro-ribonucleic acid (miRNA) miR-206 targets the human estrogen receptor-alpha (ERalpha) and represses ERalpha messenger RNA and protein expression in breast cancer cell lines.
hsa-miR-206	NOTCH3	2009	MICRORNA-206 targets NOTCH3, activates apoptosis, inhibits tumor cell migration and foci formation
hsa-miR-208	THRAP1	2007	Control of stress-dependent cardiac growth and gene expression by a microRNA.
hsa-miR-20a	BMPR2	2009	Interleukin-6 modulates the expression of the bone morphogenic protein receptor type II through a novel STAT3-microRNA cluster 17/92 pathway.
hsa-miR-20a	E2F1 	2009	miR-17 and miR-20a temper an E2F1-induced G1 checkpoint to regulate cell cycle progression
hsa-miR-20a	CCND1	2008	A cyclin D1/microRNA 17/20 regulatory feedback loop in control of breast cancer cell proliferation.
hsa-miR-20a	CDKN1A	2008	MicroRNA-17-92 downregulates expression of distinct targets in different B-cell lymphoma subtypes.
hsa-miR-20a	p21	2008	MicroRNA-17-92 downregulates expression of distinct targets in different B-cell lymphoma subtypes.
hsa-miR-20b	Mylip	2006	Oncogenic potential of the miR-106-363 cluster and its implication in human T-cell leukemia.
hsa-miR-21	LRRFIP1	2009	MicroRNA-21 targets LRRFIP1 and contributes to VM-26 resistance in glioblastoma multiforme.
hsa-miR-21	PTEN	2009	Cholesteatoma Growth and Proliferation: Posttranscriptional Regulation by MicroRNA-21.
hsa-miR-21	PDCD4	2009	Cholesteatoma Growth and Proliferation: Posttranscriptional Regulation by MicroRNA-21.
hsa-miR-21	PDCD4	2009	MicroRNA-21 promotes cell proliferation and down-regulates the expression of programmed cell death 4 (PDCD4) in HeLa cervical carcinoma cells.
hsa-miR-21	BMPRII	2009	BMPRII is a direct target of miR-21
hsa-miR-21	PDCD4	2009	An autoregulatory loop mediated by miR-21 and PDCD4 controls the AP-1 activity in RAS transformation
hsa-miR-21	PTEN	2009	An autoregulatory loop mediated by miR-21 and PDCD4 controls the AP-1 activity in RAS transformation
hsa-miR-21	REST	2009	Is REST a regulator of pluripotency?
hsa-miR-21	PDCD4	2009	Locked nucleic acid in situ hybridization analysis of miR-21 expression during colorectal cancer development.
hsa-miR-21	JAG1	2009	MicroRNA profiling identifies miR-34a and miR-21 and their target genes JAG1 and WNT1 in the co-ordinate regulation of dendritic cell differentiation
hsa-miR-21	WNT1	2009	MicroRNA profiling identifies miR-34a and miR-21 and their target genes JAG1 and WNT1 in the co-ordinate regulation of dendritic cell differentiation
hsa-miR-21	PDCD4	2009	MicroRNA-101 regulates expression of the v-fos FBJ murine osteosarcoma viral oncogene homolog (FOS) oncogene in human hepatocellular carcinoma.
hsa-miR-21	Spry1	2009	MicroRNA-143 as a Tumor Suppressor for Bladder Cancer.
hsa-miR-21	RECK	2009	MicroRNA-15b regulates cell cycle progression by targeting cyclins in glioma cells.
hsa-miR-21	MARCKS	2009	MicroRNA-21 directly targets MARCKS and promotes apoptosis resistance and invasion in prostate cancer cells.
hsa-miR-21	PDCD4	2009	MicroRNA-21 regulates the proliferation and invasion in esophageal squamous cell carcinoma.
hsa-miR-21	LRRFIP1	2009	MicroRNA-21 targets LRRFIP1 and contributes to VM-26 resistance in glioblastoma multiforme.
hsa-miR-21	BASP1	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	DERL1	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	Maspin	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	NCAPG	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	PDCD4	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	PDHA2	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	PLOD3	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	PTEN	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	RPS7	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	RTN4	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	TM9SF3	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	TPM1	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	Vector	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	WFS1	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	WIBG	2009	Nuclear hormone receptor regulation of microRNAs controls developmental progression
hsa-miR-21	BTG2	2009	Regulation of the cell cycle gene, BTG2, by miR-21 in human laryngeal carcinoma.
hsa-miR-21	PTEN	2009	Unsaturated fatty acids inhibit the expression of tumor suppressor phosphatase and tensin homolog (PTEN) via microRNA-21 up-regulation in hepatocytes
hsa-miR-21	PDCD4	2009	Up-regulation of miR-21 by HER2/neu Signaling Promotes Cell Invasion.
hsa-miR-21	PDCD4	2008	An autoregulatory loop mediated by miR-21 and PDCD4 controls the AP-1 activity in RAS transformation
hsa-miR-21	PTEN	2008	Differential expression of PTEN-targeting microRNAs miR-19a and miR-21 in Cowden syndrome.
hsa-miR-21	RECK	2008	MicroRNA 21 promotes glioma invasion by targeting matrix metalloproteinase regulators.
hsa-miR-21	TIMP3	2008	MicroRNA 21 promotes glioma invasion by targeting matrix metalloproteinase regulators.
hsa-miR-21	PDCD4	2008	MicroRNA-21 (miR-21) post-transcriptionally downregulates tumor suppressor Pdcd4 and stimulates invasion, intravasation and metastasis in colorectal cancer.
hsa-miR-21	PDCD4	2008	MicroRNA-21 promotes cell transformation by targeting the programmed cell death 4 gene.
hsa-miR-21	HNRPK	2008	MicroRNA-21 targets a network of key tumor-suppressive pathways in glioblastoma cells.
hsa-miR-21	TAp63	2008	MicroRNA-21 targets a network of key tumor-suppressive pathways in glioblastoma cells.
hsa-miR-21	TGF-beta	2008	MicroRNA-21 targets a network of key tumor-suppressive pathways in glioblastoma cells.
hsa-miR-21	SPRY2	2008	MicroRNA-21 Targets Sprouty2 and Promotes Cellular Outgrowths.
hsa-miR-21	maspin	2008	MicroRNA-21 targets tumor suppressor genes in invasion and metastasis.
hsa-miR-21	PDCD4	2008	MicroRNA-21 targets tumor suppressor genes in invasion and metastasis.
hsa-miR-21	TPM1	2008	MicroRNA-21 targets tumor suppressor genes in invasion and metastasis.
hsa-miR-21	BCL2	2007	MicroRNA expression signature and antisense-mediated depletion reveal an essential role of MicroRNA in vascular neointimal lesion formation.
hsa-miR-21	PTEN	2007	MicroRNA expression signature and antisense-mediated depletion reveal an essential role of MicroRNA in vascular neointimal lesion formation.
hsa-miR-21	PTEN	2007	MicroRNA-21 regulates expression of the PTEN tumor suppressor gene in human hepatocellular cancer.
hsa-miR-21	TPM1	2007	MicroRNA-21 targets the tumor suppressor gene tropomyosin 1 (TPM1).
hsa-miR-21	BCL2	2007	miR-21-mediated tumor growth.
hsa-miR-21	PDCD4	2007	Programmed cell death 4 (PDCD4) is an important functional target of the microRNA miR-21 in breast cancer cells.
hsa-miR-21	PTEN	2006	Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.
hsa-miR-21	PDCD4	2006	MicroRNA expression abnormalities in pancreatic endocrine and acinar tumors are associated with distinctive pathologic features and clinical behavior.
hsa-miR-21	PDCD4	2009	Pdcd4, a colon cancer prognostic that is regulated by a microRNA
hsa-miR-21	p53	2009	Distinct microRNA alterations characterize high- and low-grade bladder cancer
hsa-miR-21	Cdc25A	2009	microRNA-21 negatively regulates Cdc25A and cell cycle progression in colon cancer cells
hsa-miR-210	RAD52	2009	MicroRNA regulation of DNA repair gene expression in hypoxic stress
hsa-miR-210	Ephrin-A3	2008	MicroRNA-210 modulates endothelial cell response to hypoxia and inhibits the receptor tyrosine kinase ligand Ephrin-A3.
hsa-miR-210	ISCU1/2	2009	MicroRNA-210 controls mitochondrial metabolism during hypoxia by repressing the iron-sulfur cluster assembly proteins ISCU1/2
hsa-miR-210	FGFRL1	2009	Hypoxia-inducible mir-210 regulates normoxic gene expression involved in tumor initiation
hsa-miR-210	HOXA1	2009	Hypoxia-inducible mir-210 regulates normoxic gene expression involved in tumor initiation
hsa-miR-210	PIM1	2009	Hypoxia-inducible mir-210 regulates normoxic gene expression involved in tumor initiation
hsa-miR-210	TP53I11	2009	Hypoxia-inducible mir-210 regulates normoxic gene expression involved in tumor initiation
hsa-miR-210	HOXA9 	2009	Hypoxia-inducible mir-210 regulates normoxic gene expression involved in tumor initiation
hsa-miR-212	ZO-1	2008	Effect of alcohol on miR-212 expression in intestinal epithelial cells and its potential role in alcoholic liver disease.
hsa-miR-214	PTEN	2008	MicroRNA expression profiling in human ovarian cancer: miR-214 induces cell survival and cisplatin resistance by targeting PTEN.
hsa-miR-214	Ezh2	2009	Mir-214-dependent regulation of the polycomb protein Ezh2 in skeletal muscle and embryonic stem cells
hsa-miR-214	MEK3	2009	MicroRNA-214 is aberrantly expressed in cervical cancers and inhibits the growth of HeLa cells
hsa-miR-214	JNK1	2009	MicroRNA-214 is aberrantly expressed in cervical cancers and inhibits the growth of HeLa cells
hsa-miR-215	CDKN1A/p21	2009	MicroRNA-128 inhibits glioma cells proliferation by targeting transcription factor E2F3a.
hsa-miR-216a	PTEN	2009	TGF-beta activates Akt kinase through a microRNA-dependent amplifying circuit targeting PTEN
hsa-miR-217	PTEN	2009	TGF-beta activates Akt kinase through a microRNA-dependent amplifying circuit targeting PTEN
hsa-miR-217	SirT1	2009	MicroRNA 217 modulates endothelial cell senescence via silent information regulator 1
hsa-miR-218	LAMB3	2008	Human papillomavirus type 16 reduces the expression of microRNA-218 in cervical carcinoma cells.
hsa-miR-219	CaMKIIgamma	2009	MicroRNA-219 modulates NMDA receptor-mediated neurobehavioral dysfunction
hsa-miR-22	ERalpha	2009	miR-22 inhibits estrogen signaling by directly targeting the estrogen receptor alpha mRNA.
hsa-miR-221	Bmf	2009	MicroRNA-221 targets Bmf in hepatocellular carcinoma and correlates with tumor multifocality.
hsa-miR-221	p27	2009	A necessary role of miR-221 and miR-222 in vascular smooth muscle cell proliferation and neointimal hyperplasia
hsa-miR-221	p27	2009	Co-suppression of miR-221/222 cluster suppresses human glioma cell growth by targeting p27kip1 in vitro and in vivo.
hsa-miR-221	p27(Kip1)	2009	Effects of miR-34a on cell growth and chemoresistance in prostate cancer PC3 cells.
hsa-miR-221	p27	2009	Functional links between clustered microRNAs: suppression of cell-cycle inhibitors by microRNA clusters in gastric cancer.
hsa-miR-221	p57	2009	Functional links between clustered microRNAs: suppression of cell-cycle inhibitors by microRNA clusters in gastric cancer.
hsa-miR-221	c-KIT	2009	Induction of MicroRNA-221 by Platelet-derived Growth Factor Signaling Is Critical for Modulation of Vascular Smooth Muscle Phenotype
hsa-miR-221	p27Kip1	2009	Induction of MicroRNA-221 by Platelet-derived Growth Factor Signaling Is Critical for Modulation of Vascular Smooth Muscle Phenotype
hsa-miR-221	Bim	2009	Sustained activation of ERK1/2 by NGF induces microRNA-221 and 222 in PC12 cells
hsa-miR-221	c-KIT	2009	The c-myb proto-oncogene and microRNA-15a comprise an active autoregulatory feedback loop in human hematopoietic cells.
hsa-miR-221	CDKN1B/p27/Kip1	2008	MicroRNA signatures of TRAIL resistance in human non-small cell lung cancer.
hsa-miR-221	KIT	2008	MicroRNA signatures of TRAIL resistance in human non-small cell lung cancer.
hsa-miR-221	c-KIT	2008	MicroRNA-221 and -222 pathway controls melanoma progression.
hsa-miR-221	p27(Kip1)	2008	MicroRNA-221 and -222 pathway controls melanoma progression.
hsa-miR-221	p27(Kip1)	2008	MicroRNA-221/222 Confers Tamoxifen Resistance in Breast Cancer by Targeting p27Kip1.
hsa-miR-221	ERalpha	2008	MicroRNA-221/222 Negatively Regulates Estrogen Receptor{alpha} and Is Associated with Tamoxifen Resistance in Breast Cancer.
hsa-miR-221	CDKN1B/p27/Kip1	2008	MiR-221 controls CDKN1C/p57 and CDKN1B/p27 expression in human hepatocellular carcinoma.
hsa-miR-221	CDKN1C/p57	2008	MiR-221 controls CDKN1C/p57 and CDKN1B/p27 expression in human hepatocellular carcinoma.
hsa-miR-221	CDKN1B/p27/Kip1	2008	The promyelocytic leukemia zinc finger-microRNA-221/-222 pathway controls melanoma progression through multiple oncogenic mechanisms.
hsa-miR-221	c-KIT	2008	The promyelocytic leukemia zinc finger-microRNA-221/-222 pathway controls melanoma progression through multiple oncogenic mechanisms.
hsa-miR-221	KIT	2008	The promyelocytic leukemia zinc finger-microRNA-221/-222 pathway controls melanoma progression through multiple oncogenic mechanisms.
hsa-miR-221	BIRC1	2008	Up-regulation of micro-RNA-221 (miRNA-221; chr Xp11.3) and caspase-3 accompanies  down-regulation of the survivin-1 homolog BIRC1 (NAIP) in glioblastoma multiforme (GBM).
hsa-miR-221	CDKN1B/p27/Kip1	2007	miR-221 and miR-222 expression affects the proliferation potential of human prostate carcinoma cell lines by targeting p27Kip1.
hsa-miR-221	CDKN1B/p27/Kip1	2007	Regulation of p27Kip1 by miRNA 221/222 in glioblastoma.
hsa-miR-221	KIT	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-221	p27	2009	Microrna-221 and microrna-222 modulate differentiation and maturation of skeletal muscle cells
hsa-miR-221	CDKN1B	2009	miR-128b is a potent glucocorticoid sensitizer in MLL-AF4 acute lymphocytic leukemia cells and exerts cooperative effects with miR-221
hsa-miR-222	p27	2009	A necessary role of miR-221 and miR-222 in vascular smooth muscle cell proliferation and neointimal hyperplasia
hsa-miR-222	p27	2009	Co-suppression of miR-221/222 cluster suppresses human glioma cell growth by targeting p27kip1 in vitro and in vivo.
hsa-miR-222	p27	2009	Functional links between clustered microRNAs: suppression of cell-cycle inhibitors by microRNA clusters in gastric cancer.
hsa-miR-222	p57	2009	Functional links between clustered microRNAs: suppression of cell-cycle inhibitors by microRNA clusters in gastric cancer.
hsa-miR-222	MMP1	2009	"MicroRNA-222 regulates cell invasion by targeting matrix metalloproteinase 1(MMP1) and manganese superoxide dismutase 2 (SOD2) in tongue squamous cell
carcinoma cell lines."
hsa-miR-222	SOD2	2009	"MicroRNA-222 regulates cell invasion by targeting matrix metalloproteinase 1(MMP1) and manganese superoxide dismutase 2 (SOD2) in tongue squamous cell
carcinoma cell lines."
hsa-miR-222	Bim	2009	Sustained activation of ERK1/2 by NGF induces microRNA-221 and 222 in PC12 cells
hsa-miR-222	CDKN1B/p27/Kip1	2008	MicroRNA signatures of TRAIL resistance in human non-small cell lung cancer.
hsa-miR-222	KIT	2008	MicroRNA signatures of TRAIL resistance in human non-small cell lung cancer.
hsa-miR-222	c-KIT	2008	MicroRNA-221 and -222 pathway controls melanoma progression.
hsa-miR-222	p27(Kip1)	2008	MicroRNA-221 and -222 pathway controls melanoma progression.
hsa-miR-222	p27(Kip1)	2008	MicroRNA-221/222 Confers Tamoxifen Resistance in Breast Cancer by Targeting p27Kip1.
hsa-miR-222	ERalpha	2008	MicroRNA-221/222 Negatively Regulates Estrogen Receptor{alpha} and Is Associated with Tamoxifen Resistance in Breast Cancer.
hsa-miR-222	CDKN1C/p57	2008	MicroRNAs 221 and 222 Bypass Quiescence and Compromise Cell Survival.
hsa-miR-222	CDKN1B/p27/Kip1	2008	The promyelocytic leukemia zinc finger-microRNA-221/-222 pathway controls melanoma progression through multiple oncogenic mechanisms.
hsa-miR-222	c-KIT	2008	The promyelocytic leukemia zinc finger-microRNA-221/-222 pathway controls melanoma progression through multiple oncogenic mechanisms.
hsa-miR-222	KIT	2008	The promyelocytic leukemia zinc finger-microRNA-221/-222 pathway controls melanoma progression through multiple oncogenic mechanisms.
hsa-miR-222	CDKN1B/p27/Kip1	2007	miR-221 and miR-222 expression affects the proliferation potential of human prostate carcinoma cell lines by targeting p27Kip1.
hsa-miR-222	CDKN1B/p27/Kip1	2007	Regulation of p27Kip1 by miRNA 221/222 in glioblastoma.
hsa-miR-222	KIT	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-222	p27	2009	Microrna-221 and microrna-222 modulate differentiation and maturation of skeletal muscle cells
hsa-miR-223	LMO2	2009	MicroRNA 223-dependent expression of LMO2 regulates normal erythropoiesis
hsa-miR-223	STMN1	2008	MicroRNA-223 is commonly repressed in hepatocellular carcinoma and potentiates expression of Stathmin1.
hsa-miR-223	Mef2c	2008	Regulation of progenitor cell proliferation and granulocyte function by microRNA-223.
hsa-miR-223	NFI-A	2007	Epigenetic silencing of the myelopoiesis regulator microRNA-223 by the AML1/ETO oncoprotein.
hsa-miR-223	RhoB	2009	Sequence context outside the target region influences the effectiveness of miR-223 target sites in the RhoB 3'UTR
hsa-miR-224	API-5	2008	Profiling microRNA expression in hepatocellular carcinoma reveals microRNA-224 up-regulation and apoptosis inhibitor-5 as a microRNA-224-specific target.
hsa-miR-23	LMNB1	2009	miR-23 regulation of lamin B1 is crucial for oligodendrocyte development and myelination
hsa-miR-23a	RING1	2009	miR-23a functions downstream of NFATc3 to regulate cardiac hypertrophy.
hsa-miR-23b	MOR1	2009	MicroRNA-dependent regulation of cKit in cutaneous melanoma.
hsa-miR-23b	MOR1	2008	Post-transcriptional regulation of mouse {micro} opioid receptor (MOR1) via its 3' untranslated region: a role for microRNA23b
hsa-miR-24	L protein	2007	Hypersusceptibility to vesicular stomatitis virus infection in Dicer1-deficient mice is due to impaired miR24 and miR93 expression.
hsa-miR-24	P protein	2007	Hypersusceptibility to vesicular stomatitis virus infection in Dicer1-deficient mice is due to impaired miR24 and miR93 expression.
hsa-miR-24	DHFR	2004	A miR-24 microRNA binding-site polymorphism in dihydrofolate reductase gene leads to methotrexate resistance.
hsa-miR-24	E2F2	2009	miR-24 Inhibits cell proliferation by targeting E2F2, MYC, and other cell-cycle genes via binding to "seedless" 3'UTR microRNA recognition elements
hsa-miR-24	MYC	2009	miR-24 Inhibits cell proliferation by targeting E2F2, MYC, and other cell-cycle genes via binding to "seedless" 3'UTR microRNA recognition elements
hsa-miR-24	AURKB	2009	miR-24 Inhibits cell proliferation by targeting E2F2, MYC, and other cell-cycle genes via binding to "seedless" 3'UTR microRNA recognition elements
hsa-miR-24	CCNA2	2009	miR-24 Inhibits cell proliferation by targeting E2F2, MYC, and other cell-cycle genes via binding to "seedless" 3'UTR microRNA recognition elements
hsa-miR-24	CDC2	2009	miR-24 Inhibits cell proliferation by targeting E2F2, MYC, and other cell-cycle genes via binding to "seedless" 3'UTR microRNA recognition elements
hsa-miR-24	CDK4	2009	miR-24 Inhibits cell proliferation by targeting E2F2, MYC, and other cell-cycle genes via binding to "seedless" 3'UTR microRNA recognition elements
hsa-miR-24	FEN1	2009	miR-24 Inhibits cell proliferation by targeting E2F2, MYC, and other cell-cycle genes via binding to "seedless" 3'UTR microRNA recognition elements
hsa-miR-24a	apaf1	2009	microRNA-24a is required to repress apoptosis in the developing neural retina
hsa-miR-24a	Casp9	2009	microRNA-24a is required to repress apoptosis in the developing neural retina
hsa-miR-25	p57	2009	Functional links between clustered microRNAs: suppression of cell-cycle inhibitors by microRNA clusters in gastric cancer.
hsa-miR-25	Bim	2009	Role of the miR-106b-25 microRNA cluster in hepatocellular carcinoma.
hsa-miR-25	PCAF	2008	MicroRNAs regulate critical genes associated with multiple myeloma pathogenesis.
hsa-miR-26a	PTEN	2009	The PTEN-regulating microRNA miR-26a is amplified in high-grade glioma and facilitates gliomagenesis in vivo.
hsa-miR-26a	CCND2	2009	Therapeutic microRNA delivery suppresses tumorigenesis in a murine liver cancer model.
hsa-miR-26a	CCNE2	2009	Therapeutic microRNA delivery suppresses tumorigenesis in a murine liver cancer model.
hsa-miR-26a	EZH2	2008	MYC stimulates EZH2 expression by repression of its negative regulator miR-26a.
hsa-miR-26a	HMGA1	2007	Specific microRNAs are downregulated in human thyroid anaplastic carcinomas.
